14.192.130.0/24,PK,PK-PB,Lahore,54062
14.192.131.0/24,PK,PK-PB,Lahore,54062
14.192.132.0/24,PK,PK-PB,Lahore,54062
14.192.133.0/24,PK,PK-PB,Lahore,54062
14.192.134.0/24,PK,PK-PB,Lahore,54062
14.192.135.0/24,PK,PK-PB,Lahore,54062
14.192.136.0/24,PK,PK-PB,Lahore,54062
14.192.137.0/24,PK,PK-PB,Lahore,54062
14.192.138.0/24,PK,PK-PB,Lahore,54062
14.192.139.0/24,PK,PK-PB,Lahore,54062
103.83.30.0/24,PK,PK-PB,Lahore,54062
103.83.31.0/24,PK,PK-PB,Lahore,54062
154.203.64.0/24,PK,PK-PB,Lahore,54062
154.203.65.0/24,PK,PK-PB,Lahore,54062
154.203.69.0/24,PK,PK-PB,Lahore,54062
154.208.32.0/24,PK,PK-PB,Lahore,54062
154.208.33.0/24,PK,PK-PB,Lahore,54062
154.208.34.0/24,PK,PK-PB,Lahore,54062
154.208.35.0/24,PK,PK-PB,Lahore,54062
154.208.36.0/24,PK,PK-PB,Lahore,54062
154.208.37.0/24,PK,PK-PB,Lahore,54062
154.208.38.0/24,PK,PK-PB,Lahore,54062
154.208.39.0/24,PK,PK-PB,Lahore,54062
154.208.40.0/24,PK,PK-PB,Lahore,54062
154.208.41.0/24,PK,PK-PB,Lahore,54062
154.208.42.0/24,PK,PK-PB,Lahore,54062
154.208.43.0/24,PK,PK-PB,Lahore,54062
154.208.44.0/24,PK,PK-PB,Lahore,54062
154.208.45.0/24,PK,PK-PB,Lahore,54062
154.208.46.0/24,PK,PK-PB,Lahore,54062
154.208.47.0/24,PK,PK-PB,Lahore,54062
154.208.48.0/24,PK,PK-PB,Lahore,54062
154.208.49.0/24,PK,PK-PB,Lahore,54062
154.208.50.0/24,PK,PK-PB,Lahore,54062
154.208.51.0/24,PK,PK-PB,Lahore,54062
154.208.52.0/24,PK,PK-PB,Lahore,54062
154.208.53.0/24,PK,PK-PB,Lahore,54062
154.208.54.0/24,PK,PK-PB,Lahore,54062
154.208.55.0/24,PK,PK-PB,Lahore,54062
154.208.56.0/24,PK,PK-PB,Lahore,54062
154.208.57.0/24,PK,PK-PB,Lahore,54062
154.208.58.0/24,PK,PK-PB,Lahore,54062
154.208.59.0/24,PK,PK-PB,Lahore,54062
154.208.60.0/24,PK,PK-PB,Lahore,54062
154.208.61.0/24,PK,PK-PB,Lahore,54062
154.208.62.0/24,PK,PK-PB,Lahore,54062
154.208.63.0/24,PK,PK-PB,Lahore,54062
